FID,OBJECTID,BARRIO,COD_BARRIO,DISTRITO,H0A4,H5A9,H10A14,H15A19,H20A24,H25A29,H30A34,H35A39,H40A44,H45A49,H50A54,H55A59,H60A64,H65A69,H70A74,H75A79,H80A84,H85A89,H90A94,H95A99,HMAS100,HOMBRES,M0A4,M5A9,M10A14,M15A19,M20A24,M25A29,M30A34,M35A39,M40A44,M45A49,M50A54,M55A59,M60A64,M65A69,M70A74,M75A79,M80A84,M85A89,M90A94,M95A99,MMAS100,MUJERES,TOTAL,AREA,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0,1,IGUESTE DE SAN ANDRES,37,ANAGA,6,5,4,4,5,6,11,21,18,11,16,35,19,22,23,13,15,7,1,1,1,244,6,9,10,5,9,12,13,12,14,12,23,23,25,22,15,12,16,6,4,1,1,250,494,11255159,386028,3157452,-16,29
1,2,VALLESECO,74,ANAGA,25,37,52,66,49,57,63,86,94,88,101,87,61,46,63,26,39,18,3,2,2,1065,30,39,57,40,58,54,58,83,86,93,85,78,50,61,76,57,52,39,8,3,2,1109,2174,4213360,378190,3153406,-16,29
2,3,LOS CAMPITOS,17,ANAGA,25,17,34,7,29,27,28,47,49,30,48,37,26,39,15,16,11,13,0,1,2,501,19,17,13,21,25,23,30,35,37,26,45,38,45,31,22,19,19,10,3,0,0,478,979,3229603,376002,3151604,-16,28
3,4,ACORAN,2,SUROESTE,85,108,100,82,64,75,74,125,165,167,158,108,73,44,20,14,10,3,0,0,0,1475,84,104,112,75,80,61,94,138,228,164,143,88,59,31,23,12,13,5,2,0,0,1516,2991,879897,372143,3143981,-16,28
4,5,LA GALLEGA,32,SUROESTE,188,269,335,272,202,174,169,283,497,467,273,179,119,89,51,27,20,8,1,0,0,3623,177,263,349,220,169,158,209,413,564,454,283,165,129,92,53,43,31,7,4,2,2,3787,7410,1575399,370464,3145716,-16,28
5,6,SAN SEBASTIAN,58,SALUD - LA SALLE,26,29,29,26,42,38,51,46,46,52,56,45,47,48,24,19,16,11,2,1,1,655,32,24,28,32,35,43,49,71,57,57,70,63,55,48,29,34,25,27,7,1,1,788,1443,67596,377209,3149280,-16,28
6,7,LA SALLE,53,SALUD - LA SALLE,223,248,296,317,307,332,386,481,542,534,466,368,354,297,308,214,143,86,22,11,4,5939,209,248,250,293,270,397,414,518,515,542,516,448,474,459,420,326,253,162,97,25,6,6842,12781,512282,376669,3148983,-16,28
7,8,LA VICTORIA,75,SALUD - LA SALLE,11,14,18,11,15,15,22,30,35,27,29,21,26,22,16,15,9,10,1,2,0,349,13,12,16,21,14,19,25,26,28,37,24,35,24,25,24,21,16,28,12,3,1,424,773,57045,376556,3148714,-16,28
8,9,DUGGI,30,CENTRO - IFARA,115,133,122,110,111,146,168,188,265,247,201,168,136,102,135,102,88,58,20,6,4,2625,103,100,136,93,131,170,198,227,245,256,226,194,181,162,193,157,138,112,47,11,5,3085,5710,174575,376750,3149482,-16,28
9,10,URUGUAY,72,CENTRO - IFARA,22,28,25,22,33,28,48,53,45,42,56,48,57,29,23,24,19,19,2,1,5,629,23,22,23,23,35,48,46,48,50,55,63,43,49,28,35,40,23,28,16,7,5,710,1339,93740,375999,3149815,-16,28
