FID,NOMBRE,TIPO,GEOCODIGO,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,CAMPO DE FUTBOL SAN ANDRES,Instalaciones deportivas,DEP_003,383435.203114,3154628.37164,-16.1911788332,28.5131603701
1.0,CAMPO DE FUTBOL LA SALUD,Instalaciones deportivas,DEP_004,375464.402512,3150185.263,-16.2721358019,28.4723255321
2.0,PABELLON MUNICIPAL LA SALUD,Instalaciones deportivas,DEP_006,375510.881379,3150265.94324,-16.2716698347,28.4730580659
3.0,TERRENO INSULAR PERICO PERDOMO,Instalaciones deportivas,DEP_007,375554.108443,3150191.87492,-16.271220352,28.4723937684
4.0,CAMPO DE FUTBOL LOS CAMPITOS,Instalaciones deportivas,DEP_009,376701.923139,3151645.06787,-16.2596533235,28.4856171488
5.0,TERRERO DE LUCHA PANCHO SUAREZ,Instalaciones deportivas,DEP_010,376633.430957,3151136.38709,-16.2602984094,28.481020092
6.0,CAMPO DE FUTBOL SAN JOAQUIN,Instalaciones deportivas,DEP_012,375137.228507,3149899.14035,-16.2754462026,28.4697121395
7.0,COMPLEJO DEPORTIVO MUNICIPAL DE LAS DELICIAS,Instalaciones deportivas,DEP_014,374324.370875,3148096.45643,-16.2835510784,28.4533658658
8.0,CAMPO DE FUTBOL LAS DELICIAS-LAS CABRITAS,Instalaciones deportivas,DEP_016,374514.270318,3147848.62897,-16.2815850226,28.4511476441
9.0,COMPLEJO DEPORTIVO CUCHILLITOS DE TRISTAN,Instalaciones deportivas,DEP_018,375110.576656,3148420.42316,-16.275558131,28.456364992
10.0,PABELLON PANCHO CAMURRIA,Instalaciones deportivas,DEP_019,375813.659562,3148469.03727,-16.2683838792,28.4568708374
11.0,COMPLEJO FEDERATIVO JUAN PADRON (MUNDIALITO),Instalaciones deportivas,DEP_022,373832.927951,3148680.70711,-16.2886331904,28.4585909429
12.0,PALACIO MUNICIPAL DE LOS DEPORTES,Instalaciones deportivas,DEP_001,376541.674423,3149059.68464,-16.2610130107,28.4622702432
13.0,PISCINA MUNICIPAL ACIDALIO LORENZO,Instalaciones deportivas,DEP_026,376246.918653,3148590.38824,-16.2639726777,28.4580071464
14.0,CAMPO DE FUTBOL EL SOBRADILLO,Instalaciones deportivas,DEP_031,370719.542097,3147046.95272,-16.3202423743,28.4435425736
15.0,CAMPO DE FUTBOL DE TINCER,Instalaciones deportivas,DEP_030,372193.265035,3146970.32039,-16.3051871021,28.4429961707
16.0,ESTADIO HELIODORO RODRIGUEZ LOPEZ,Instalaciones deportivas,DEP_002,376589.828039,3149169.05045,-16.2605329758,28.4632617722
17.0,CANCHA PARQUE DON QUIJOTE,Instalaciones deportivas,DEP_025,376729.011905,3148949.3733,-16.2590881109,28.461292461
18.0,POLIDEPORTIVO DE TAGANANA,Instalaciones deportivas,DEP_024,380644.361052,3160031.99785,-16.2202550894,28.5616725883
19.0,POLIDEPORTIVO DE TINCER,Instalaciones deportivas,DEP_023,372256.654379,3147020.17509,-16.3045454165,28.4434522837
20.0,POLIDEPORTIVO BARRANCO GRANDE,Instalaciones deportivas,DEP_027,371774.490063,3146659.9626,-16.309428302,28.440154317
21.0,POLIDEPORTIVO EL SOBRADILLO,Instalaciones deportivas,DEP_028,371240.210056,3146910.19956,-16.3149110779,28.4423599418
22.0,CAMPO DE FUTBOL SANTA MARIA DEL MAR,Instalaciones deportivas,DEP_029,371989.433815,3145418.99433,-16.3070961306,28.4289764639
23.0,CAMPO DE FUTBOL DE AÑAZA,Instalaciones deportivas,DEP_032,372560.051316,3144507.12295,-16.3011702313,28.4208031838
24.0,CENTRO INSULAR DE DEPORTES MARINOS,Instalaciones deportivas,DEP_005,378849.662466,3151488.61024,-16.2376990919,28.4844066871
25.0,CAMPO DE FUTBOL EL CHORRILLO,Instalaciones deportivas,DEP_008,370718.004996,3144664.78868,-16.3199912303,28.4220450091
26.0,POLIDEPORTIVO VISTABELLA,Instalaciones deportivas,DEP_011,374012.227182,3148971.28653,-16.2868340244,28.4612305813
27.0,CAMPO DE FUTBOL LOS GLADIOLOS,Instalaciones deportivas,DEP_013,375893.395433,3148855.55617,-16.2676112742,28.4603665564
