AMBITO,VARIABLE,PERIODO,TOTAL,Hombres,Mujeres
Tenerife,TOTAL,2020,928604,455609,472995
Tenerife,TOTAL,2019,917841,450868,466973
Tenerife,TOTAL,2018,904713,444783,459930
Tenerife,TOTAL,2017,894636,440083,454553
Tenerife,TOTAL,2016,891111,438573,452538
Tenerife,TOTAL,2015,888184,437623,450561
Tenerife,TOTAL,2014,889936,438777,451159
Tenerife,TOTAL,2013,897582,443632,453950
Tenerife,TOTAL,2012,898680,444572,454108
Tenerife,TOTAL,2011,908555,449625,458930
Tenerife,TOTAL,2010,906854,449327,457527
Tenerife,TOTAL,2009,899833,446171,453662
Tenerife,TOTAL,2008,886033,439848,446185
Tenerife,TOTAL,2007,865070,429541,435529
Tenerife,TOTAL,2006,852945,424198,428747
Tenerife,TOTAL,2005,838877,417321,421556
Tenerife,TOTAL,2004,812839,403784,409055
Tenerife,TOTAL,2003,799889,396960,402929
Tenerife,TOTAL,2002,778071,385406,392665
Tenerife,TOTAL,2001,744076,367534,376542
Tenerife,TOTAL,2000,709365,348879,360486
Tenerife,0 a 14,2020,121241,62144,59097
Tenerife,0 a 14,2019,122922,63005,59917
Tenerife,0 a 14,2018,123495,63207,60288
Tenerife,0 a 14,2017,123327,63246,60081
Tenerife,0 a 14,2016,124259,63709,60550
Tenerife,0 a 14,2015,124844,64141,60703
Tenerife,0 a 14,2014,126117,64815,61302
Tenerife,0 a 14,2013,127005,65335,61670
Tenerife,0 a 14,2012,127077,65369,61708
Tenerife,0 a 14,2011,127555,65668,61887
Tenerife,0 a 14,2010,127019,65361,61658
Tenerife,0 a 14,2009,126657,65154,61503
Tenerife,0 a 14,2008,125778,64658,61120
Tenerife,0 a 14,2007,122330,62792,59538
Tenerife,0 a 14,2006,121063,62237,58826
Tenerife,0 a 14,2005,120814,62010,58804
Tenerife,0 a 14,2004,120702,61890,58812
Tenerife,0 a 14,2003,121146,62017,59129
Tenerife,0 a 14,2002,119644,61172,58472
Tenerife,0 a 14,2001,112957,57575,55382
Tenerife,0 a 14,2000,109739,55884,53855
Tenerife,0 a 4,2020,33963,17431,16532
Tenerife,0 a 4,2019,35093,17992,17101
Tenerife,0 a 4,2018,35397,18071,17326
Tenerife,0 a 4,2017,35605,18093,17512
Tenerife,0 a 4,2016,35937,18256,17681
Tenerife,0 a 4,2015,36439,18624,17815
Tenerife,0 a 4,2014,37289,19060,18229
Tenerife,0 a 4,2013,38981,19919,19062
Tenerife,0 a 4,2012,39921,20521,19400
Tenerife,0 a 4,2011,40677,20989,19688
Tenerife,0 a 4,2010,40101,20669,19432
Tenerife,0 a 4,2009,39588,20374,19214
Tenerife,0 a 4,2008,38820,20032,18788
Tenerife,0 a 4,2007,36082,18631,17451
Tenerife,0 a 4,2006,35216,18226,16990
Tenerife,0 a 4,2005,34288,17676,16612
Tenerife,0 a 4,2004,34764,17979,16785
Tenerife,0 a 4,2003,35091,18162,16929
Tenerife,0 a 4,2002,33368,17174,16194
Tenerife,0 a 4,2001,27556,14229,13327
Tenerife,0 a 4,2000,25212,13036,12176
Tenerife,5 a 9,2020,40438,20580,19858
Tenerife,5 a 9,2019,40968,20911,20057
Tenerife,5 a 9,2018,42331,21579,20752
Tenerife,5 a 9,2017,42936,22057,20879
Tenerife,5 a 9,2016,43838,22568,21270
Tenerife,5 a 9,2015,44386,22844,21542
Tenerife,5 a 9,2014,44663,22942,21721
Tenerife,5 a 9,2013,44163,22764,21399
Tenerife,5 a 9,2012,43629,22541,21088
Tenerife,5 a 9,2011,43553,22490,21063
Tenerife,5 a 9,2010,43533,22426,21107
Tenerife,5 a 9,2009,43833,22642,21191
Tenerife,5 a 9,2008,43178,22276,20902
Tenerife,5 a 9,2007,41832,21446,20386
Tenerife,5 a 9,2006,41189,21188,20001
Tenerife,5 a 9,2005,40971,21110,19861
Tenerife,5 a 9,2004,40009,20532,19477
Tenerife,5 a 9,2003,40071,20465,19606
Tenerife,5 a 9,2002,40423,20696,19727
Tenerife,5 a 9,2001,39917,20395,19522
Tenerife,5 a 9,2000,39846,20283,19563
Tenerife,10 a 14,2020,46840,24133,22707
Tenerife,10 a 14,2019,46861,24102,22759
Tenerife,10 a 14,2018,45767,23557,22210
Tenerife,10 a 14,2017,44786,23096,21690
Tenerife,10 a 14,2016,44484,22885,21599
Tenerife,10 a 14,2015,44019,22673,21346
Tenerife,10 a 14,2014,44165,22813,21352
Tenerife,10 a 14,2013,43861,22652,21209
Tenerife,10 a 14,2012,43527,22307,21220
Tenerife,10 a 14,2011,43325,22189,21136
Tenerife,10 a 14,2010,43385,22266,21119
Tenerife,10 a 14,2009,43236,22138,21098
Tenerife,10 a 14,2008,43780,22350,21430
Tenerife,10 a 14,2007,44416,22715,21701
Tenerife,10 a 14,2006,44658,22823,21835
Tenerife,10 a 14,2005,45555,23224,22331
Tenerife,10 a 14,2004,45929,23379,22550
Tenerife,10 a 14,2003,45984,23390,22594
Tenerife,10 a 14,2002,45853,23302,22551
Tenerife,10 a 14,2001,45484,22951,22533
Tenerife,10 a 14,2000,44681,22565,22116
Tenerife,15 a 64,2020,653886,325983,327903
Tenerife,15 a 64,2019,646287,322407,323880
Tenerife,15 a 64,2018,636766,318001,318765
Tenerife,15 a 64,2017,630242,314827,315415
Tenerife,15 a 64,2016,628111,313670,314441
Tenerife,15 a 64,2015,626913,313359,313554
Tenerife,15 a 64,2014,628581,314266,314315
Tenerife,15 a 64,2013,633110,317205,315905
Tenerife,15 a 64,2012,635422,318639,316783
Tenerife,15 a 64,2011,648181,324852,323329
Tenerife,15 a 64,2010,650629,326439,324190
Tenerife,15 a 64,2009,649115,326034,323081
Tenerife,15 a 64,2008,641332,322573,318759
Tenerife,15 a 64,2007,628841,316535,312306
Tenerife,15 a 64,2006,620935,313225,307710
Tenerife,15 a 64,2005,611589,308814,302775
Tenerife,15 a 64,2004,589269,297054,292215
Tenerife,15 a 64,2003,577145,290602,286543
Tenerife,15 a 64,2002,560388,281666,278722
Tenerife,15 a 64,2001,536275,268871,267404
Tenerife,15 a 64,2000,512513,255591,256922
Tenerife,15 a 19,2020,46431,23958,22473
Tenerife,15 a 19,2019,46300,23964,22336
Tenerife,15 a 19,2018,45098,23386,21712
Tenerife,15 a 19,2017,44301,22853,21448
Tenerife,15 a 19,2016,43409,22283,21126
Tenerife,15 a 19,2015,42822,22053,20769
Tenerife,15 a 19,2014,42256,21680,20576
Tenerife,15 a 19,2013,42397,21733,20664
Tenerife,15 a 19,2012,44248,22845,21403
Tenerife,15 a 19,2011,46396,23899,22497
Tenerife,15 a 19,2010,47742,24546,23196
Tenerife,15 a 19,2009,48874,25037,23837
Tenerife,15 a 19,2008,49469,25203,24266
Tenerife,15 a 19,2007,49382,25030,24352
Tenerife,15 a 19,2006,50055,25262,24793
Tenerife,15 a 19,2005,49952,25228,24724
Tenerife,15 a 19,2004,49482,24967,24515
Tenerife,15 a 19,2003,50115,25291,24824
Tenerife,15 a 19,2002,50881,25635,25246
Tenerife,15 a 19,2001,51569,25915,25654
Tenerife,15 a 19,2000,52770,26501,26269
Tenerife,20 a 24,2020,49604,24831,24773
Tenerife,20 a 24,2019,48366,24337,24029
Tenerife,20 a 24,2018,47771,24043,23728
Tenerife,20 a 24,2017,47855,24114,23741
Tenerife,20 a 24,2016,47954,24162,23792
Tenerife,20 a 24,2015,48677,24392,24285
Tenerife,20 a 24,2014,49581,24849,24732
Tenerife,20 a 24,2013,50005,25054,24951
Tenerife,20 a 24,2012,51101,25559,25542
Tenerife,20 a 24,2011,54898,27205,27693
Tenerife,20 a 24,2010,55996,27652,28344
Tenerife,20 a 24,2009,57297,28244,29053
Tenerife,20 a 24,2008,58113,28671,29442
Tenerife,20 a 24,2007,58867,29144,29723
Tenerife,20 a 24,2006,60769,30284,30485
Tenerife,20 a 24,2005,62654,31177,31477
Tenerife,20 a 24,2004,63298,31572,31726
Tenerife,20 a 24,2003,64111,32007,32104
Tenerife,20 a 24,2002,64120,32236,31884
Tenerife,20 a 24,2001,63152,32076,31076
Tenerife,20 a 24,2000,61990,31345,30645
Tenerife,25 a 29,2020,56886,28371,28515
Tenerife,25 a 29,2019,56881,28354,28527
Tenerife,25 a 29,2018,56494,28109,28385
Tenerife,25 a 29,2017,56061,27850,28211
Tenerife,25 a 29,2016,56715,27849,28866
Tenerife,25 a 29,2015,57277,28081,29196
Tenerife,25 a 29,2014,58351,28498,29853
Tenerife,25 a 29,2013,59946,29425,30521
Tenerife,25 a 29,2012,62349,30545,31804
Tenerife,25 a 29,2011,67366,33132,34234
Tenerife,25 a 29,2010,71384,35190,36194
Tenerife,25 a 29,2009,74799,37109,37690
